Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days,stock
0Q,1,2021-12-31,-0.214,2.98,2.76,3.32,3.79,20.0,-0.214,29797100000.0,29024000000.0,30795000000.0,15.0,30161000000.0,-0.012,2.98,2.96,2.95,2.94,2.89,4.0,6.0,1.0,,JPM
+1Q,1,2022-03-31,-0.349,2.93,2.71,3.21,4.5,16.0,-0.349,30784500000.0,29936000000.0,32292000000.0,12.0,30518800000.0,0.009,2.93,2.93,2.96,2.95,3.0,0.0,1.0,1.0,,JPM
0Y,1,2021-12-31,0.688,14.99,14.8,15.34,8.88,25.0,0.688,123513000000.0,121367000000.0,125869000000.0,22.0,122929000000.0,0.005,14.99,14.98,14.97,14.96,14.11,4.0,5.0,0.0,,JPM
+1Y,1,2022-12-31,-0.201,11.97,11.26,12.8,14.99,26.0,-0.201,123462000000.0,120422000000.0,128909000000.0,21.0,123513000000.0,0.0,11.97,11.96,11.94,11.9,11.91,2.0,4.0,2.0,,JPM
+5Y,1,,0.10569999,,,,,,,,,,,,,,,,,,,,,,JPM
-5Y,1,,0.15394,,,,,,,,,,,,,,,,,,,,,,JPM
0Q,1,2021-12-31,57.667004,1.76,1.4,2.24,0.03,20.0,57.667004,88717300000.0,72679000000.0,125711000000.0,8.0,46540000000.0,0.90599996,1.76,1.76,1.75,1.63,1.43,0.0,5.0,0.0,,XOM
+1Q,1,2022-03-31,1.4,1.56,1.3,1.95,0.65,16.0,1.4,86128400000.0,71654000000.0,131157000000.0,6.0,54597600000.0,0.578,1.56,1.56,1.58,1.6,1.37,0.0,2.0,0.0,,XOM
0Y,1,2021-12-31,16.241999,5.03,4.53,5.44,-0.33,27.0,16.241999,295716000000.0,271243000000.0,343366000000.0,16.0,181502000000.0,0.629,5.03,5.03,5.01,4.75,4.43,0.0,8.0,0.0,,XOM
+1Y,1,2022-12-31,0.169,5.88,4.79,7.37,5.03,28.0,0.169,318593000000.0,225472000000.0,487377000000.0,17.0,295716000000.0,0.077,5.88,5.88,5.87,5.66,5.03,0.0,6.0,0.0,,XOM
+5Y,1,,0.01,,,,,,,,,,,,,,,,,,,,,,XOM
-5Y,1,,-0.03911,,,,,,,,,,,,,,,,,,,,,,XOM
0Q,1,2021-12-31,0.012,1.66,1.61,1.69,1.64,17.0,0.012,20412400000.0,20250400000.0,20716100000.0,12.0,,,1.66,1.66,1.66,1.66,1.68,1.0,1.0,1.0,,PG
+1Q,1,2022-03-31,0.055999998,1.33,1.3,1.39,1.26,17.0,0.055999998,18921900000.0,18558000000.0,19135900000.0,12.0,,,1.33,1.33,1.33,1.33,1.34,0.0,0.0,1.0,,PG
0Y,1,2022-06-30,0.046,5.92,5.88,6.0,5.66,23.0,0.046,79372300000.0,78194000000.0,79927400000.0,20.0,76118000000.0,0.043,5.92,5.92,5.93,5.93,5.94,0.0,0.0,1.0,,PG
+1Y,1,2023-06-30,0.074,6.36,6.02,6.55,5.92,22.0,0.074,82486500000.0,81175000000.0,83503000000.0,20.0,79372300000.0,0.039,6.36,6.36,6.36,6.37,6.39,0.0,0.0,0.0,,PG
+5Y,1,,0.069299996,,,,,,,,,,,,,,,,,,,,,,PG
-5Y,1,,0.03974,,,,,,,,,,,,,,,,,,,,,,PG
0Q,1,2022-01-31,0.19600001,3.17,2.88,3.58,2.65,26.0,0.19600001,34814800000.0,33611600000.0,36407000000.0,23.0,32261000000.0,0.079,3.17,3.17,3.18,2.82,2.83,0.0,1.0,0.0,,HD
+1Q,1,2022-04-30,-0.051999997,3.66,3.39,4.39,3.86,20.0,-0.051999997,36386000000.0,34980900000.0,39750000000.0,16.0,,,3.66,3.66,3.67,3.41,3.42,0.0,1.0,0.0,,HD
0Y,1,2022-01-31,0.295,15.46,15.2,15.89,11.94,33.0,0.295,150174000000.0,149050000000.0,151845000000.0,30.0,132110000000.0,0.137,15.46,15.46,15.46,14.58,14.57,0.0,2.0,0.0,,HD
+1Y,1,2023-01-31,0.047,16.19,15.11,17.56,15.46,33.0,0.047,153879000000.0,148178000000.0,159332000000.0,30.0,150174000000.0,0.025,16.19,16.19,16.23,15.18,15.23,0.0,2.0,0.0,,HD
+5Y,1,,0.137,,,,,,,,,,,,,,,,,,,,,,HD
-5Y,1,,0.19218999,,,,,,,,,,,,,,,,,,,,,,HD
0Q,1,2021-12-31,304.0,3.03,2.5,3.59,-0.01,19.0,304.0,44713800000.0,41971000000.0,50986000000.0,5.0,25246000000.0,0.77099997,3.03,3.01,2.96,2.7,2.31,3.0,5.0,1.0,,CVX
+1Q,1,2022-03-31,1.778,2.5,1.73,3.28,0.9,16.0,1.778,42682000000.0,40011000000.0,45525000000.0,4.0,32029000000.0,0.333,2.5,2.53,2.55,2.48,2.15,1.0,3.0,1.0,,CVX
0Y,1,2021-12-31,42.65,8.33,6.98,9.18,-0.2,28.0,42.65,157771000000.0,152122000000.0,164856000000.0,11.0,94692000000.0,0.666,8.33,8.35,8.3,7.78,6.93,3.0,5.0,1.0,,CVX
+1Y,1,2022-12-31,0.142,9.51,6.89,11.7,8.33,28.0,0.142,172992000000.0,157476000000.0,189910000000.0,11.0,157771000000.0,0.096,9.51,9.46,9.42,9.25,8.09,2.0,4.0,1.0,,CVX
+5Y,1,,-0.049000002,,,,,,,,,,,,,,,,,,,,,,CVX
-5Y,1,,0.13404,,,,,,,,,,,,,,,,,,,,,,CVX
0Q,1,2021-12-31,0.305,0.77,0.7,0.84,0.59,20.0,0.305,22287400000.0,21749000000.0,22758000000.0,6.0,20212000000.0,0.103,0.77,0.78,0.78,0.78,0.72,0.0,1.0,3.0,,BAC
+1Q,1,2022-03-31,-0.116000004,0.76,0.71,0.83,0.86,13.0,-0.116000004,23298900000.0,22911000000.0,23757000000.0,7.0,22933000000.0,0.016,0.76,0.77,0.77,0.77,0.71,0.0,2.0,2.0,,BAC
0Y,1,2021-12-31,0.872,3.5,3.32,3.58,1.87,22.0,0.872,89674900000.0,89124000000.0,90133000000.0,9.0,86027000000.0,0.042,3.5,3.51,3.51,3.51,3.27,0.0,1.0,4.0,,BAC
