Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days,stock
0Y,1,2021-12-31,0.148,5.42,5.27,5.52,4.72,14.0,0.148,7284130000.0,5915800000.0,8298500000.0,7.0,5994600000.0,0.215,5.42,5.42,5.47,5.49,5.36,0.0,0.0,1.0,,AJG
+1Y,1,2022-12-31,0.101,5.97,5.58,6.34,5.42,14.0,0.101,8171960000.0,7225000000.0,8872000000.0,7.0,7284130000.0,0.122,5.97,5.92,5.91,5.9,5.79,1.0,3.0,0.0,,AJG
+5Y,1,,0.122,,,,,,,,,,,,,,,,,,,,,,AJG
-5Y,1,,0.1069,,,,,,,,,,,,,,,,,,,,,,AJG
0Q,1,2022-01-31,0.463,0.98,0.88,1.29,0.67,21.0,0.463,4976010000.0,4793390000.0,5134670000.0,18.0,4249670000.0,0.171,0.98,0.98,0.98,1.01,1.01,0.0,0.0,0.0,,ROST
+1Q,1,2022-04-30,0.03,1.38,1.16,1.51,1.34,15.0,0.03,4772860000.0,4530000000.0,4960000000.0,13.0,,,1.38,1.38,1.37,1.44,1.47,0.0,0.0,0.0,,ROST
0Y,1,2022-01-31,5.1670003,4.81,4.71,5.11,0.78,23.0,5.1670003,18886500000.0,18689000000.0,19151000000.0,21.0,12531600000.0,0.507,4.81,4.81,4.81,4.5,4.51,1.0,3.0,0.0,,ROST
+1Y,1,2023-01-31,0.11399999,5.36,4.96,5.85,4.81,23.0,0.11399999,20140200000.0,19729000000.0,20477000000.0,21.0,18886500000.0,0.066,5.36,5.36,5.39,5.32,5.35,0.0,1.0,1.0,,ROST
+5Y,1,,0.9374,,,,,,,,,,,,,,,,,,,,,,ROST
-5Y,1,,0.16994,,,,,,,,,,,,,,,,,,,,,,ROST
0Q,1,2021-12-31,,0.93,0.85,0.97,,4.0,,2611960000.0,2588870000.0,2632220000.0,4.0,,,0.93,0.92,0.93,1.05,1.05,0.0,0.0,0.0,,IFF
+1Q,1,2022-03-31,,1.42,1.42,1.42,,1.0,,2795900000.0,2795900000.0,2795900000.0,1.0,,,1.42,1.42,1.42,1.36,1.44,0.0,0.0,0.0,,IFF
0Y,1,2021-12-31,,4.96,4.87,5.02,,6.0,,10250300000.0,10220100000.0,10308600000.0,6.0,,,4.96,4.95,4.96,4.92,4.93,0.0,0.0,0.0,,IFF
+1Y,1,2022-12-31,0.067,5.29,4.76,5.98,4.96,7.0,0.067,11005300000.0,10845600000.0,11121700000.0,6.0,10250300000.0,0.074,5.29,5.27,5.28,5.25,5.28,0.0,0.0,0.0,,IFF
+5Y,1,,0.044899996,,,,,,,,,,,,,,,,,,,,,,IFF
-5Y,1,,0.049439996,,,,,,,,,,,,,,,,,,,,,,IFF
0Q,1,2021-12-31,0.046,2.73,2.59,2.96,2.61,9.0,0.046,1020410000.0,1007400000.0,1046970000.0,10.0,834520000.0,0.22299999,2.73,2.73,2.74,2.72,2.84,0.0,0.0,0.0,,ALGN
+1Q,1,2022-03-31,0.19299999,2.97,2.77,3.14,2.49,8.0,0.19299999,1090060000.0,1004300000.0,1141960000.0,8.0,818160000.0,0.33200002,2.97,2.97,2.97,2.97,2.99,0.0,0.0,0.0,,ALGN
0Y,1,2021-12-31,1.114,11.1,10.21,11.5,5.25,12.0,1.114,3943750000.0,3928900000.0,3968460000.0,11.0,2471940000.0,0.595,11.1,11.1,11.11,11.09,10.91,0.0,0.0,0.0,,ALGN
+1Y,1,2022-12-31,0.20899999,13.42,12.93,13.95,11.1,12.0,0.20899999,4823020000.0,4652000000.0,4964370000.0,12.0,3943750000.0,0.22299999,13.42,13.44,13.57,13.54,13.26,0.0,0.0,1.0,,ALGN
+5Y,1,,0.4325,,,,,,,,,,,,,,,,,,,,,,ALGN
-5Y,1,,0.32561,,,,,,,,,,,,,,,,,,,,,,ALGN
0Q,1,2021-12-31,5.0,0.28,0.18,0.39,-0.07,23.0,5.0,5501680000.0,5281200000.0,5679700000.0,19.0,5495000000.0,0.001,0.28,0.28,0.28,0.28,0.31,0.0,0.0,0.0,,BKR
+1Q,1,2022-03-31,0.833,0.22,0.18,0.29,0.12,22.0,0.833,5064170000.0,4820600000.0,5363000000.0,16.0,4782000000.0,0.059,0.22,0.22,0.22,0.21,0.23,0.0,1.0,0.0,,BKR
0Y,1,2021-12-31,22.0,0.69,0.57,0.93,0.03,24.0,22.0,20530500000.0,20301200000.0,20856700000.0,26.0,20705000000.0,-0.008,0.69,0.69,0.69,0.7,0.74,0.0,0.0,0.0,,BKR
+1Y,1,2022-12-31,0.754,1.21,0.92,1.53,0.69,28.0,0.754,21924300000.0,20504900000.0,22363000000.0,26.0,20530500000.0,0.068,1.21,1.21,1.21,1.2,1.24,1.0,1.0,0.0,,BKR
+5Y,1,,3.481,,,,,,,,,,,,,,,,,,,,,,BKR
-5Y,1,,-0.33029,,,,,,,,,,,,,,,,,,,,,,BKR
0Q,1,2021-12-31,0.088999994,10.08,10.0,10.36,9.26,9.0,0.088999994,1021780000.0,1013540000.0,1032000000.0,8.0,937985000.0,0.088999994,10.08,10.08,10.08,9.99,10.02,0.0,0.0,0.0,,MTD
+1Q,1,2022-03-31,0.11,7.28,6.68,8.05,6.56,7.0,0.11,846090000.0,840600000.0,853740000.0,3.0,758700000.0,0.115,7.28,7.28,7.28,7.18,7.18,0.0,0.0,0.0,,MTD
0Y,1,2021-12-31,0.3,33.44,33.16,33.7,25.72,12.0,0.3,3690280000.0,3585000000.0,3713000000.0,10.0,3085180000.0,0.19600001,33.44,33.44,33.44,32.96,32.94,0.0,0.0,0.0,,MTD
+1Y,1,2022-12-31,0.116000004,37.32,34.39,38.0,33.44,12.0,0.116000004,3897240000.0,3823000000.0,3939800000.0,9.0,3690280000.0,0.055999998,37.32,37.32,37.32,36.11,35.95,0.0,0.0,0.0,,MTD
+5Y,1,,0.17799999,,,,,,,,,,,,,,,,,,,,,,MTD
-5Y,1,,0.14286,,,,,,,,,,,,,,,,,,,,,,MTD
0Q,1,2021-12-31,0.076,3.11,2.99,3.25,2.89,10.0,0.076,1943130000.0,1911200000.0,1972730000.0,6.0,1732900000.0,0.12100001,3.11,3.11,3.13,3.13,3.29,0.0,0.0,0.0,,TROW
+1Q,1,2022-03-31,0.076,3.24,3.05,3.53,3.01,7.0,0.076,2025090000.0,1942500000.0,2119000000.0,5.0,1826800000.0,0.109,3.24,3.24,3.3,3.27,3.22,0.0,0.0,1.0,,TROW
0Y,1,2021-12-31,0.32599998,12.7,12.59,12.84,9.58,10.0,0.32599998,7651980000.0,7621400000.0,7687130000.0,9.0,6206700000.0,0.233,12.7,12.7,12.73,12.73,12.91,0.0,0.0,0.0,,TROW
+1Y,1,2022-12-31,0.051,13.35,12.27,14.76,12.7,11.0,0.051,8247590000.0,7762320000.0,8843000000.0,10.0,7651980000.0,0.078,13.35,13.35,13.45,13.44,13.34,0.0,1.0,0.0,,TROW
+5Y,1,,0.122,,,,,,,,,,,,,,,,,,,,,,TROW
-5Y,1,,0.1471,,,,,,,,,,,,,,,,,,,,,,TROW
0Q,1,2021-12-31,0.355,3.51,3.02,4.19,2.59,19.0,0.355,2985290000.0,2831000000.0,3069000000.0,16.0,2824000000.0,0.056999996,3.51,3.52,3.5,3.46,2.99,0.0,2.0,1.0,,DFS
+1Q,1,2022-03-31,-0.315,3.45,2.96,4.1,5.04,16.0,-0.315,2953450000.0,2752000000.0,3031000000.0,13.0,2795000000.0,0.056999996,3.45,3.45,3.43,3.43,3.17,0.0,3.0,0.0,,DFS
0Y,1,2021-12-31,3.881,17.57,16.18,18.35,3.6,18.0,3.881,12068400000.0,11602900000.0,12220000000.0,17.0,11088000000.0,0.088,17.57,17.59,17.53,17.55,16.82,1.0,3.0,0.0,,DFS
+1Y,1,2022-12-31,-0.236,13.43,12.17,15.19,17.57,21.0,-0.236,12216400000.0,11563000000.0,12540000000.0,19.0,12068400000.0,0.012,13.43,13.41,13.36,13.26,12.57,1.0,3.0,0.0,,DFS
+5Y,1,,0.556,,,,,,,,,,,,,,,,,,,,,,DFS
-5Y,1,,0.13703,,,,,,,,,,,,,,,,,,,,,,DFS
0Q,1,2021-12-31,-0.127,6.46,4.57,8.64,7.4,21.0,-0.127,1416870000.0,1216000000.0,1538850000.0,17.0,1213260000.0,0.168,6.46,6.46,6.51,6.52,6.57,1.0,2.0,0.0,,SIVB
+1Q,1,2022-03-31,-0.35900003,6.43,5.3,8.58,10.03,18.0,-0.35900003,1469020000.0,1389000000.0,1549810000.0,14.0,1192600000.0,0.23200001,6.43,6.43,6.44,6.47,6.45,0.0,1.0,1.0,,SIVB
0Y,1,2021-12-31,0.38599998,31.69,29.53,34.0,22.87,21.0,0.38599998,5874110000.0,5760500000.0,6008560000.0,15.0,3996430000.0,0.47,31.69,31.69,31.7,31.96,30.52,1.0,2.0,1.0,,SIVB
+1Y,1,2022-12-31,-0.068,29.52,25.24,39.13,31.69,22.0,-0.068,6376710000.0,5408000000.0,7021240000.0,18.0,5874110000.0,0.086,29.52,29.5,29.17,29.15,27.81,1.0,5.0,0.0,,SIVB
+5Y,1,,0.08,,,,,,,,,,,,,,,,,,,,,,SIVB
-5Y,1,,0.38294998,,,,,,,,,,,,,,,,,,,,,,SIVB
0Q,1,2021-12-31,0.11,1.41,1.31,1.47,1.27,14.0,0.11,769250000.0,757780000.0,782500000.0,12.0,713300000.0,0.078,1.41,1.41,1.41,1.38,1.36,0.0,0.0,0.0,,VRSK
+1Q,1,2022-03-31,0.138,1.4,1.33,1.51,1.23,12.0,0.138,778610000.0,771870000.0,788900000.0,8.0,,,1.4,1.4,1.4,1.42,1.4,0.0,0.0,0.0,,VRSK
0Y,1,2021-12-31,0.042,5.25,5.15,5.31,5.04,13.0,0.042,3000800000.0,2990030000.0,3015100000.0,14.0,2784600000.0,0.078,5.25,5.25,5.25,5.16,5.13,0.0,0.0,0.0,,VRSK
+1Y,1,2022-12-31,0.139,5.98,5.63,6.23,5.25,14.0,0.139,3206660000.0,3165030000.0,3248000000.0,14.0,3000800000.0,0.069,5.98,5.98,5.98,5.97,5.94,0.0,0.0,0.0,,VRSK
+5Y,1,,0.0995,,,,,,,,,,,,,,,,,,,,,,VRSK
-5Y,1,,0.10925,,,,,,,,,,,,,,,,,,,,,,VRSK
0Q,1,2021-12-31,0.204,1.3,1.27,1.35,1.08,16.0,0.204,1468970000.0,1445600000.0,1517000000.0,15.0,1198950000.0,0.225,1.3,1.3,1.3,1.28,1.27,1.0,1.0,0.0,,AME
+1Q,1,2022-03-31,0.19600001,1.28,1.16,1.34,1.07,13.0,0.19600001,1429130000.0,1309670000.0,1487000000.0,12.0,1215740000.0,0.176,1.28,1.28,1.28,1.28,1.27,1.0,2.0,0.0,,AME
0Y,1,2021-12-31,0.21,4.78,4.77,4.85,3.95,16.0,0.21,5510930000.0,5488400000.0,5560000000.0,18.0,4540030000.0,0.214,4.78,4.78,4.78,4.72,4.68,1.0,1.0,0.0,,AME
+1Y,1,2022-12-31,0.128,5.39,5.24,5.62,4.78,16.0,0.128,6042470000.0,5922000000.0,6461000000.0,18.0,5510930000.0,0.096,5.39,5.39,5.33,5.27,5.22,1.0,2.0,0.0,,AME
+5Y,1,,-0.012,,,,,,,,,,,,,,,,,,,,,,AME
-5Y,1,,0.11399,,,,,,,,,,,,,,,,,,,,,,AME
0Q,1,2021-12-31,0.304,0.9,0.82,0.99,0.69,15.0,0.304,4433650000.0,2688590000.0,6884740000.0,5.0,2570580000.0,0.725,0.9,0.92,0.92,0.87,0.85,1.0,1.0,0.0,,OKE
+1Q,1,2022-03-31,0.116000004,0.96,0.81,1.13,0.86,11.0,0.116000004,4901090000.0,3184890000.0,6760340000.0,4.0,3194680000.0,0.53400004,0.96,0.96,0.96,0.95,0.91,0.0,0.0,0.0,,OKE
0Y,1,2021-12-31,0.337,3.41,3.33,3.65,2.55,17.0,0.337,15170000000.0,12859000000.0,18004600000.0,9.0,8542240000.0,0.77599996,3.41,3.43,3.43,3.32,3.29,1.0,1.0,0.0,,OKE
+1Y,1,2022-12-31,0.12,3.82,3.55,4.15,3.41,19.0,0.12,17630400000.0,13676000000.0,23820100000.0,9.0,15170000000.0,0.162,3.82,3.87,3.87,3.75,3.64,1.0,1.0,0.0,,OKE
+5Y,1,,0.0986,,,,,,,,,,,,,,,,,,,,,,OKE
-5Y,1,,0.19676,,,,,,,,,,,,,,,,,,,,,,OKE
0Q,1,2022-03-31,0.088999994,2.09,1.99,2.2,1.92,17.0,0.088999994,2474570000.0,2344000000.0,2524100000.0,13.0,2295950000.0,0.078,2.09,2.09,2.07,2.05,2.05,0.0,5.0,0.0,,HSY
+1Q,1,2022-06-30,0.16299999,1.71,1.59,1.81,1.47,17.0,0.16299999,2161700000.0,2031000000.0,2216760000.0,13.0,1837120000.0,0.177,1.71,1.71,1.73,1.72,1.72,1.0,4.0,0.0,,HSY
0Y,1,2022-12-31,0.103999995,7.94,7.88,8.02,7.19,19.0,0.103999995,9773460000.0,9650700000.0,9887000000.0,16.0,8971340000.0,0.088999994,7.94,7.94,7.64,7.52,7.52,2.0,14.0,0.0,,HSY
+1Y,1,2023-12-31,0.073,8.52,8.33,8.76,7.94,18.0,0.073,10071000000.0,9943000000.0,10243800000.0,16.0,9773460000.0,0.03,8.52,8.51,8.28,8.06,8.06,1.0,10.0,0.0,,HSY
+5Y,1,,0.0885,,,,,,,,,,,,,,,,,,,,,,HSY
-5Y,1,,0.08806,,,,,,,,,,,,,,,,,,,,,,HSY
0Q,1,2022-03-31,-0.006,1.6,1.46,1.69,1.61,8.0,-0.006,2582770000.0,1995620000.0,3223090000.0,4.0,,,1.6,1.6,1.6,1.54,1.53,0.0,0.0,0.0,,WEC
+1Q,1,2022-06-30,0.023,0.89,0.8,0.97,0.87,8.0,0.023,1606000000.0,1460230000.0,1696370000.0,4.0,1596020000.0,0.006,0.89,0.89,0.89,0.83,0.82,0.0,0.0,0.0,,WEC
0Y,1,2022-12-31,0.046,4.3,4.26,4.35,4.11,13.0,0.046,7888480000.0,7073720000.0,8537000000.0,10.0,8316000000.0,-0.051,4.3,4.3,4.3,4.3,4.3,1.0,2.0,0.0,,WEC
+1Y,1,2023-12-31,0.065,4.58,4.53,4.61,4.3,13.0,0.065,8115490000.0,7060720000.0,8907000000.0,10.0,7888480000.0,0.029000001,4.58,4.58,4.57,4.58,4.58,0.0,0.0,1.0,,WEC
+5Y,1,,0.061,,,,,,,,,,,,,,,,,,,,,,WEC
-5Y,1,,0.06985,,,,,,,,,,,,,,,,,,,,,,WEC
0Q,1,2022-03-31,0.667,0.25,0.16,0.38,0.15,7.0,0.667,657190000.0,646000000.0,665700000.0,11.0,597602000.0,0.1,0.25,0.25,0.23,0.22,0.23,0.0,1.0,1.0,,EQR
+1Q,1,2022-06-30,-0.643,0.3,0.23,0.47,0.84,7.0,-0.643,672220000.0,658360000.0,683400000.0,11.0,598059000.0,0.124,0.3,0.32,0.27,0.27,0.27,0.0,1.0,1.0,,EQR
0Y,1,2022-12-31,-0.66400003,1.19,0.9,1.87,3.54,9.0,-0.66400003,2720650000.0,2651490000.0,2811400000.0,15.0,2464000000.0,0.103999995,1.19,1.21,1.46,1.45,1.45,0.0,3.0,1.0,,EQR
+1Y,1,2023-12-31,0.176,1.4,1.08,2.04,1.19,8.0,0.176,2877400000.0,2738820000.0,3074900000.0,14.0,2720650000.0,0.058000002,1.4,1.41,2.06,2.06,2.21,1.0,2.0,0.0,,EQR
+5Y,1,,0.065,,,,,,,,,,,,,,,,,,,,,,EQR
-5Y,1,,-0.074889995,,,,,,,,,,,,,,,,,,,,,,EQR
0Q,1,2022-03-31,0.111,1.2,1.07,1.31,1.08,12.0,0.111,2791220000.0,2650510000.0,2947470000.0,6.0,2825840000.0,-0.012,1.2,1.2,1.21,1.19,1.19,0.0,3.0,0.0,,ES
+1Q,1,2022-06-30,0.088999994,0.86,0.67,0.95,0.79,12.0,0.088999994,2213040000.0,2057600000.0,2444680000.0,6.0,2062820000.0,0.073,0.86,0.86,0.87,0.84,0.84,0.0,4.0,0.0,,ES
0Y,1,2022-12-31,0.062,4.1,4.06,4.13,3.86,18.0,0.062,10183400000.0,9481380000.0,11023800000.0,11.0,9941790000.0,0.024,4.1,4.1,4.1,4.11,4.1,1.0,4.0,1.0,,ES
+1Y,1,2023-12-31,0.066,4.37,4.27,4.53,4.1,16.0,0.066,10544100000.0,9822730000.0,11479600000.0,10.0,10183400000.0,0.035,4.37,4.38,4.37,4.38,4.38,0.0,2.0,1.0,,ES
+5Y,1,,0.065,,,,,,,,,,,,,,,,,,,,,,ES
-5Y,1,,0.04454,,,,,,,,,,,,,,,,,,,,,,ES
0Q,1,2022-03-31,0.0139999995,1.49,1.28,1.92,1.47,13.0,0.0139999995,3056440000.0,2996000000.0,3259000000.0,10.0,2874700000.0,0.063,1.49,1.49,1.49,1.61,1.67,0.0,1.0,1.0,,STT
+1Q,1,2022-06-30,0.046,2.06,1.59,2.4,1.97,12.0,0.046,3411140000.0,3102000000.0,3531000000.0,10.0,2942880000.0,0.159,2.06,2.06,2.12,2.16,2.2,0.0,0.0,1.0,,STT
0Y,1,2022-12-31,0.129,8.4,7.48,8.83,7.44,15.0,0.129,13543400000.0,13076600000.0,13842000000.0,13.0,12027000000.0,0.126,8.4,8.4,8.47,8.42,8.5,1.0,1.0,0.0,,STT
+1Y,1,2023-12-31,0.24200001,10.43,9.92,11.0,8.4,15.0,0.24200001,14759200000.0,14082100000.0,15255000000.0,13.0,13543400000.0,0.09,10.43,10.43,10.43,10.22,10.16,0.0,2.0,0.0,,STT
+5Y,1,,0.1339,,,,,,,,,,,,,,,,,,,,,,STT
-5Y,1,,0.06653,,,,,,,,,,,,,,,,,,,,,,STT
0Q,1,2022-03-31,0.156,1.56,1.49,1.76,1.35,16.0,0.156,5833430000.0,5405000000.0,6100000000.0,8.0,5309470000.0,0.099,1.56,1.56,1.56,1.55,1.54,0.0,1.0,0.0,,PCAR
+1Q,1,2022-06-30,0.234,1.74,1.36,2.02,1.41,16.0,0.234,6138400000.0,5695000000.0,6580900000.0,8.0,,,1.74,1.74,1.74,1.69,1.68,0.0,1.0,0.0,,PCAR
0Y,1,2022-12-31,0.31,6.97,5.75,7.66,5.32,20.0,0.31,25198600000.0,24369000000.0,27450000000.0,14.0,21834500000.0,0.154,6.97,6.97,6.94,6.75,6.74,1.0,3.0,0.0,,PCAR
+1Y,1,2023-12-31,0.143,7.97,5.83,8.97,6.97,20.0,0.143,27920700000.0,25905000000.0,29849600000.0,14.0,25198600000.0,0.108,7.97,7.97,7.96,7.72,7.72,1.0,2.0,0.0,,PCAR
+5Y,1,,0.231,,,,,,,,,,,,,,,,,,,,,,PCAR
-5Y,1,,0.120699994,,,,,,,,,,,,,,,,,,,,,,PCAR
0Q,1,2021-12-31,-0.083000004,0.44,0.34,0.52,0.48,9.0,-0.083000004,2143210000.0,2093100000.0,2186170000.0,6.0,2063000000.0,0.039,0.44,0.44,0.42,0.42,0.36,0.0,2.0,0.0,,WY
+1Q,1,2022-03-31,-0.48400003,0.47,0.36,0.75,0.91,7.0,-0.48400003,2154510000.0,1975730000.0,2242700000.0,5.0,2523020000.0,-0.146,0.47,0.47,0.47,0.47,0.43,0.0,1.0,0.0,,WY
0Y,1,2021-12-31,1.605,3.36,3.3,3.48,1.29,8.0,1.605,10118300000.0,9984420000.0,10181200000.0,8.0,7532000000.0,0.343,3.36,3.36,3.34,3.31,3.35,0.0,2.0,0.0,,WY
+1Y,1,2022-12-31,-0.443,1.87,1.44,2.6,3.36,10.0,-0.443,8739230000.0,8049660000.0,9452000000.0,8.0,10118300000.0,-0.136,1.87,1.87,1.84,1.84,1.74,0.0,1.0,0.0,,WY
+5Y,1,,0.05,,,,,,,,,,,,,,,,,,,,,,WY
-5Y,1,,-0.11423001,,,,,,,,,,,,,,,,,,,,,,WY
0Q,1,2021-12-31,0.154,0.9,0.84,0.97,0.78,18.0,0.154,2015750000.0,1971000000.0,2037000000.0,12.0,1972000000.0,0.022,0.9,0.9,0.9,0.9,0.87,2.0,4.0,1.0,,FITB
+1Q,1,2022-03-31,-0.183,0.76,0.69,0.86,0.93,15.0,-0.183,1938820000.0,1883000000.0,1982000000.0,9.0,1928000000.0,0.006,0.76,0.76,0.75,0.75,0.75,1.0,3.0,0.0,,FITB
0Y,1,2021-12-31,1.044,3.74,3.68,3.81,1.83,19.0,1.044,7899620000.0,7746520000.0,7945000000.0,16.0,7625000000.0,0.036,3.74,3.74,3.73,3.73,3.63,2.0,4.0,1.0,,FITB
+1Y,1,2022-12-31,-0.103999995,3.35,3.05,3.57,3.74,21.0,-0.103999995,8018560000.0,7730000000.0,8139040000.0,16.0,7899620000.0,0.015,3.35,3.34,3.32,3.31,3.27,2.0,5.0,1.0,,FITB
+5Y,1,,-0.0298,,,,,,,,,,,,,,,,,,,,,,FITB
-5Y,1,,0.12614,,,,,,,,,,,,,,,,,,,,,,FITB
0Q,1,2021-12-31,0.111,0.9,0.84,0.99,0.81,18.0,0.111,3561030000.0,3269000000.0,3774000000.0,15.0,3102000000.0,0.148,0.9,0.9,0.9,0.98,0.99,1.0,1.0,0.0,,BLL
+1Q,1,2022-03-31,0.20799999,0.87,0.72,0.95,0.72,14.0,0.20799999,3530900000.0,3254100000.0,3837340000.0,12.0,3125000000.0,0.13,0.87,0.87,0.87,0.88,0.87,0.0,1.0,1.0,,BLL
0Y,1,2021-12-31,0.148,3.41,3.26,3.51,2.97,19.0,0.148,13695600000.0,13406000000.0,13911000000.0,18.0,11781000000.0,0.16299999,3.41,3.41,3.41,3.55,3.56,1.0,1.0,0.0,,BLL
+1Y,1,2022-12-31,0.19399999,4.07,3.43,4.45,3.41,20.0,0.19399999,15024400000.0,14256900000.0,16253000000.0,20.0,13695600000.0,0.096999995,4.07,4.07,4.08,4.18,4.18,1.0,1.0,0.0,,BLL
+5Y,1,,0.15640001,,,,,,,,,,,,,,,,,,,,,,BLL
-5Y,1,,0.07829,,,,,,,,,,,,,,,,,,,,,,BLL
0Q,1,2021-12-31,0.2,1.74,1.53,1.93,1.45,7.0,0.2,8135670000.0,7941000000.0,8321080000.0,4.0,6910500000.0,0.177,1.74,1.74,1.74,1.67,1.56,0.0,0.0,0.0,,CBRE
+1Q,1,2022-03-31,0.16299999,1.0,0.88,1.12,0.86,4.0,0.16299999,7393000000.0,7393000000.0,7393000000.0,1.0,5801290000.0,0.274,1.0,1.0,1.0,0.99,0.94,0.0,0.0,0.0,,CBRE
0Y,1,2021-12-31,0.618,5.29,5.01,5.55,3.27,8.0,0.618,27294000000.0,27129900000.0,27516900000.0,5.0,23826200000.0,0.146,5.29,5.29,5.33,5.01,4.76,0.0,1.0,0.0,,CBRE
+1Y,1,2022-12-31,0.066,5.64,4.91,6.25,5.29,8.0,0.066,31010900000.0,29404000000.0,32461000000.0,5.0,27294000000.0,0.136,5.64,5.64,5.75,5.35,5.05,0.0,1.0,0.0,,CBRE
+5Y,1,,0.11,,,,,,,,,,,,,,,,,,,,,,CBRE
-5Y,1,,0.16288,,,,,,,,,,,,,,,,,,,,,,CBRE
0Q,1,2021-12-31,0.0,0.52,0.5,0.54,0.52,13.0,0.0,3591040000.0,3502820000.0,3652000000.0,11.0,3328000000.0,0.079,0.52,0.52,0.53,0.53,0.58,0.0,1.0,1.0,,GLW
+1Q,1,2022-03-31,0.067,0.48,0.4,0.56,0.45,12.0,0.067,3418120000.0,3288960000.0,3555000000.0,9.0,3263000000.0,0.048,0.48,0.48,0.49,0.49,0.53,0.0,0.0,1.0,,GLW
0Y,1,2021-12-31,0.482,2.06,2.03,2.13,1.39,14.0,0.482,13997200000.0,13908800000.0,14058000000.0,13.0,11452000000.0,0.222,2.06,2.06,2.07,2.07,2.13,0.0,1.0,1.0,,GLW
+1Y,1,2022-12-31,0.126,2.32,2.17,2.55,2.06,14.0,0.126,14711700000.0,14298600000.0,15324000000.0,13.0,13997200000.0,0.051,2.32,2.32,2.33,2.33,2.41,1.0,1.0,0.0,,GLW
+5Y,1,,0.2214,,,,,,,,,,,,,,,,,,,,,,GLW
-5Y,1,,0.04902,,,,,,,,,,,,,,,,,,,,,,GLW
0Q,1,2021-12-31,0.19399999,1.91,1.77,2.08,1.6,22.0,0.19399999,1347310000.0,1334610000.0,1359460000.0,10.0,1080360000.0,0.24700001,1.91,1.9,1.9,1.91,1.86,2.0,3.0,1.0,,FRC
+1Q,1,2022-03-31,0.034,1.85,1.74,2.1,1.79,18.0,0.034,1368720000.0,1340000000.0,1398210000.0,8.0,1134630000.0,0.206,1.85,1.85,1.86,1.86,1.82,1.0,1.0,1.0,,FRC
0Y,1,2021-12-31,0.303,7.57,7.43,7.82,5.81,23.0,0.303,5016270000.0,4996660000.0,5036000000.0,13.0,3916780000.0,0.28100002,7.57,7.57,7.57,7.57,7.44,3.0,4.0,2.0,,FRC
+1Y,1,2022-12-31,0.088999994,8.24,7.9,9.2,7.57,23.0,0.088999994,5827780000.0,5563470000.0,6200320000.0,13.0,5016270000.0,0.162,8.24,8.19,8.19,8.2,8.0,4.0,6.0,1.0,,FRC
+5Y,1,,0.1598,,,,,,,,,,,,,,,,,,,,,,FRC
-5Y,1,,0.13600999,,,,,,,,,,,,,,,,,,,,,,FRC
0Q,1,2021-12-31,0.404,2.26,2.19,2.47,1.61,17.0,0.404,1380530000.0,1352500000.0,1418300000.0,13.0,1073390000.0,0.286,2.26,2.25,2.25,2.25,2.11,2.0,3.0,0.0,,ODFL
+1Q,1,2022-03-31,0.32900003,2.26,2.05,2.9,1.7,11.0,0.32900003,1353330000.0,1269100000.0,1422000000.0,8.0,1126520000.0,0.201,2.26,2.17,2.16,2.15,2.06,2.0,2.0,0.0,,ODFL
0Y,1,2021-12-31,0.537,8.73,8.6,8.95,5.68,20.0,0.537,5233600000.0,5198400000.0,5300000000.0,17.0,4015130000.0,0.303,8.73,8.73,8.72,8.71,8.45,2.0,3.0,0.0,,ODFL
+1Y,1,2022-12-31,0.17899999,10.29,9.85,11.0,8.73,21.0,0.17899999,5884320000.0,5657200000.0,6146000000.0,18.0,5233600000.0,0.124,10.29,10.25,10.21,10.06,9.58,2.0,3.0,0.0,,ODFL
+5Y,1,,0.2929,,,,,,,,,,,,,,,,,,,,,,ODFL
-5Y,1,,0.23607999,,,,,,,,,,,,,,,,,,,,,,ODFL
0Q,1,2021-12-31,0.062,0.85,0.81,0.92,0.8,11.0,0.062,943840000.0,666760000.0,1159620000.0,5.0,923000000.0,0.023,0.85,0.85,0.85,0.84,0.87,0.0,1.0,0.0,,AWK
+1Q,1,2022-03-31,0.0,0.73,0.62,0.84,0.73,5.0,0.0,915080000.0,833000000.0,966100000.0,3.0,847040000.0,0.08,0.73,0.73,0.73,0.74,0.69,0.0,0.0,0.0,,AWK
0Y,1,2021-12-31,0.087,4.25,4.22,4.28,3.91,14.0,0.087,4016890000.0,3935000000.0,4157000000.0,10.0,3777000000.0,0.064,4.25,4.25,4.25,4.25,4.25,0.0,2.0,0.0,,AWK
+1Y,1,2022-12-31,0.055999998,4.49,4.44,4.63,4.25,15.0,0.055999998,4095740000.0,3776000000.0,4365000000.0,10.0,4016890000.0,0.02,4.49,4.49,4.5,4.6,4.61,0.0,0.0,0.0,,AWK
